query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin
морозильная ларь,морозильная ларь,NO_BRAND,Centek,65,category_only,0.5185382826492392,1.0,11,7,False,False,True,special,Haier,0.1806791555089336
ирригатор,ирригатор,NO_BRAND,Gofer,65,category_only,0.2578704626912853,1.0,186,28,False,False,True,special,CS Medica,0.103947444361965
ноутбуки huawei matebook d16,ноутбуки huawei matebook d16,HUAWEI,HUAWEI,26,alias_hint,0.9974263411084923,0.9974263411084923,35,2,True,True,False,high,Huawei,0.9948526822169844
чехол samsung a07,Чехол samsung a07,Samsung,Krutoff,52,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
мини холодильники бирюса,мини холодильники бирюса,NO_BRAND,Бирюса,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
микроволновые печи,микроволновые печи,NO_BRAND,Toshiba,65,category_only,0.2762770702101246,1.0,14,13,False,False,True,special,Kuppersberg,0.1381385351050623
msi mp275 qpg,MSI mp275qpg,MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
душевая система,душевая система,NO_BRAND,Am.Pm,65,category_only,0.5575604863527659,1.0,27,14,False,False,True,special,Teymi,0.3364039244175949
iphone 15 чехол,iphone 15 чехол,Apple,Apple,2,alias_hint,0.8666666666666667,0.8666666666666667,2,2,True,True,False,high,Leather Co.,0.7333333333333334
наушники true wireless jbl,Наушники True Wireless JBL,JBL,JBL,32,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
18 ноутбук asus tuf gaming fa808 um s8065 серый,"18"" Ноутбук ASUS TUF Gaming FA808UM-S8065 серый",ASUS,ASUS,0,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
tefal qt1510,tefal qt1510,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смартфон sаmsung galaxy z flip 5,Смартфон Sаmsung Galaxy Z Flip 5,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
sber box,sber box,Sber,Sber,53,brand_in_query,1.0,1.0,9,1,True,False,False,high,,1.0
сушильная машина hotpoint,сушильная машина hotpoint,NO_BRAND,Hotpoint,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0
газовые плиты gefest 5500 02 0069,газовые плиты gefest 5500 02 0069,Gefest,Gefest,22,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол samsung s24 ultra,чехол samsung s24 ultra,Samsung,Krutoff,52,alias_hint,0.900990099009901,0.900990099009901,4,2,False,True,False,high,Red Line,0.8019801980198021
фен brayer,фен brayer,Brayer,Brayer,11,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
atlant сма 70 у 1213-01,ATLANT СМА 70 У 1213-01,ATLANT,ATLANT,1,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
пленка на ipad 11,Пленка на ipad 11,Apple,Alpha Skin,2,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
зарядное самсунг,Зарядное самсунг,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
набор посуды для индукционной плиты taller,набор посуды для индукционной плиты taller,TalleR,TalleR,57,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
iphone 17 sim,iphone 17  sim,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
самсунг а 37,самсунг а 37,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
dreame r10 rpo,dreame r10 rpo,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
планшет apple ipad 11 2025 128 gb wi fi md3y4,планшет apple ipad 11 2025 128 gb wi fi MD3Y4,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
вытяжки кухонные 50,вытяжки кухонные 50,UNKNOWN,Krona,66,ambiguous_clicks,0.3556316113922555,0.9,41,15,False,False,False,special,Evelux,0.17919873261550903
haier quantum dc as25hqj2 hra w,HAIER QUANTUM DC AS25HQJ2HRA-W,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
55 телевизор tcl 55c8 l,"55"" Телевизор TCL 55C8L",TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
dyson airwrap hs05 complete long,Dyson Airwrap HS05 Complete Long,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
встраиваемая посудомоечная машина gorenje gv522e10 we,Встраиваемая посудомоечная машина Gorenje GV522E10WE,UNKNOWN,GORENJE,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
электрическая плита hansa,электрическая плита hansa,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
встраиваемая электрическая панель комбинированнная,Встраиваемая электрическая панель комбинированнная,NO_BRAND,Maunfeld,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
стиральная машина candy aqva 2 d 1040-07,стиральная машина Candy AQVA 2D 1040-07,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
karcher,karcher,Karcher,Karcher,33,brand_in_query,0.9835643046160452,0.9835643046160452,39,3,True,False,False,high,KARCHER,0.9678047612573797
системные блоки интел,системные блоки интел,NO_BRAND,Роскомп,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
посудомоечные машины 60 см weissgauff,посудомоечные машины 60см weissgauff,UNKNOWN,Weissgauff,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
телевизор tcl 65c8 l,Телевизор TCL 65C8L,TCL,TCL,56,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
tefal набор,Tefal набор,Tefal,Tefal,59,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0
двухкамерный холодильник beko b1rcnk272 w nofrost,Двухкамерный холодильник Beko B1RCNK272W NoFrost,Beko,Beko,8,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
телевизор lg 55 c6,телевизор lg 55 C6,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
вытяжка bosch,вытяжка bosch,Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
холодильники lg ga b509 mcum,холодильники lg GA-B509MCUM,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
роутеры netcraze 3910,роутеры netcraze 3910,UNKNOWN,Netcraze,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
стиральная машина haier узкая,стиральная машина haier узкая,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
зарядное устройство samsung ep t6010 60 w,зарядное устройство samsung ep t6010 60w,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смарт часы эпл,Смарт часы эпл,NO_BRAND,Apple,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
принтер струйный canon pixma g1010,Принтер струйный Canon PIXMA G1010,Canon,Canon,13,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
холодильник двухдверный,холодильник двухдверный,UNKNOWN,Grundig,66,ambiguous_clicks,0.3732567678424938,0.9,4,3,False,False,False,special,Haier,0.045118949958982774
apple айпад,Apple айпад,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
сэндвичница,сэндвичница,UNKNOWN,Brayer,66,ambiguous_clicks,0.41934566964923103,0.9,14,7,False,False,False,special,Clatronic,0.07054413134286128
pitaka air,pitaka air,UNKNOWN,Pitaka,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
настольные часы,настольные часы,NO_BRAND,Kitfort,65,category_only,1.0,1.0,2,1,False,False,True,special,,1.0
моноблоки на базе amd ryzen 7 7730 u 5 7530 u например msi modern am272 lenovo ideacentre aio,Моноблоки на базе AMD Ryzen 7 7730U / 5 7530U (Например: MSI Modern AM272 / Lenovo IdeaCentre AIO),MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,True,False,high,,1.0
huawei планшет,Huawei планшет,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,6,1,True,True,False,high,,1.0
беспроводной автомобильный пылесос,беспроводной автомобильный пылесос,NO_BRAND,нет,65,category_only,0.5437736737357958,1.0,12,7,False,False,True,special,GROOVIER,0.425132144920713
infinix xl,infinix xl,UNKNOWN,INFINIX,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
s25 plus deppa,s25 plus deppa,Deppa,Deppa,18,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
стиральная машинка gorenje с баком,стиральная машинка gorenje с баком,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
27 монитор samsung odyssey g4 g40 b s27bg400 ei черный,"27"" Монитор Samsung Odyssey G4 G40B S27BG400EI черный",Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ноутбук huawei matebook d 16 2024 mclg x,Ноутбук HUAWEI MateBook D 16 2024 MCLG-X,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 15 pro 256 гб синий титан blue titanium,iPhone 15 Pro 256 ГБ («Синий титан» | Blue Titanium),Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
телефон samsung а 56,телефон samsung а 56,Samsung,Samsung,52,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
iphone 15 про 256 гб,iphone 15 про 256 гб,Apple,Apple,2,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
колонка яндекс станция миди с алисой,колонка яндекс станция миди с алисой,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
триммер бензиновый дисковый,триммер бензиновый дисковый,NO_BRAND,Huter,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
аэрогриль kitfort кт-8162,Аэрогриль Kitfort КТ-8162,Kitfort,Kitfort,35,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
клавиатура на планшет xiaomi pad 7,Клавиатура на планшет xiaomi pad 7,Xiaomi,XIAOMI,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
xiaomi band 10 pro,xiaomi band 10 pro,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
